channel_id,message_id,issuer_id,sentiment_score,processed_text
"1351339368","5739","220","5","#GLTR (Globaltrans): В понедельник, 27 марта, Globaltrans представил сильные финансовые результаты за 2022, которые превзошли наши прогнозы и ожидания рынка. Оценка: 5"
"1203560567","114910","129","3","#RASP (Распадская): ""Распадская"""" станет единственным акционером """"Южкузбассугля"""" Оценка: 3"
"1203560567","274099","152","4","#CHMF (Северсталь): СД СЕВЕРСТАЛИ РЕКОМЕНДОВАЛ ДИВИДЕНДЫ 191,51 РУБ./АКЦИЯ ЗА 2023Г, ВЫШЕ ОЖИДАНИЙ РЫНКА — ИФ. Оценка: 4"
"1203560567","37615","103","3","#VZRZ (Московская Биржа): Московская Биржа с 29 апреля 2019 года приостанавливает торги обыкновенными акциями банка ""Возрождение"" Решение принято в связи с поступившим банку требованием о выкупе ценных бумаг. Оценка: 3"
"1565800335","2071","251","3","#ЦИАН (CIAN): доходы ускоряются на фоне замедления рынка вторичного жилья. Оценка: 3"
"1326656811","1381","142","4","#RTKM (Ростелеком): RTKM, владеющий 45% Tele2, договорился с ВТБ (MOEX: VTBR) и другими акционерами о консолидации 100% оператора, сообщил журналистам глава Ростелекома Михаил Осеевский. По его словам, работы по обсуждению сделки завершены, стороны переходят к формальным процедурам. Структура сделки предполагает, что Tele2 продолжит работать независимой дочерней самостоятельной компанией. Оценка: 4"
"1239405989","5091","103","4","#MOEX (Московская биржа): Московская биржа в первом квартале 2023 года получила рекордную чистую прибыль для этого отчетного периода — 14,3 млрд руб., что на 14% выше консенсус-прогноза. Операционные издержки снизились на 18% г/г и на 10% кв/кв и до 5,4 млрд руб. Это произошло благодаря тому, что сократились расходы на маркетинг, а численность персонала осталась стабильной. Комиссионный доход уменьшился на 6,5% г/г и вырос на 0,1% кв/кв до 9,7 млрд руб. МосБиржа снизила прогноз по росту операционных издержек на этот год до 10-14% с прежних 12-16% и обновила прогноз капитальных затрат, который теперь составляет 4-6 млрд руб. Оценка: 4"
"1203560567","19562","7","4","#ВТБ (ВТБ): ВТБ провел ряд встреч с частным бизнесом и фондами Саудовской Аравии, партнеры интересуются проектами в недвижимости, торговле, энергетике. Оценка: 4"
"1131897537","982","58","5","#Черкизово (Группа компаний Черкизово): Отличная отчетность, хороший бизнес. Оценка: 5"
"1480181440","572","225","4","#TCSG (TCS Group): Чистая прибыль увеличилась на 30%, а активы на 725 млрд рублей. Оценка: 4"
"1480181440","572","27","3","#ALRS (Алроса): Выручка увеличилась на 9%, операционная прибыль на 76%, но чистая прибыль снизилась на 44%. Оценка: 3"
"1239405989","4696","187","3","#AGRO (ФосАгро): Котировки компании растут с пятницы, после публикации финансовых результатов за 4К22 и рекомендации совета директоров о высоких дивидендах. Результаты оценены аналитиками с осторожностью, учитывая риски.  Оценка: 3"
"1239405989","4696","185","2","#HYDR (РусГидро): Финансовая отчетность за 4К22 не устроила инвесторов, так как показатели оказались ниже ожиданий аналитиков. Низкая выработка ГЭС и увеличение капиталовложений негативно сказались на результате компании.  Оценка: 2"
"1239405989","6794","157","2","#FLOT (Совкомфлот): Акции Совкомфлота (минус 2,4%) сегодня выглядят хуже рынка, поскольку на прошлой неделе Минфин США ввел санкции против этой компании. Мы считаем новости умеренно негативными и не исключаем краткосрочного давления на акции. Однако в долгосрочной перспективе мы подтверждаем позитивный взгляд на акции Совкомфлота. «Префы» Мечела (минус 4,0%) также оказались под давлением из-за санкций. Оценка: 2"
"1239405989","6794","99","2","#MTLRP (Мечел): «Префы» Мечела (минус 4,0%) также оказались под давлением из-за санкций. Оценка: 2"
"1239405989","6794","103","4","#MOEX (Московская биржа): Московская биржа (плюс 2,9%) сегодня представила хорошие финансовые результаты за 2023 год по МСФО — чистая прибыль выросла на 67% до рекордных 60,8 млрд руб. Оценка: 4"
"1239405989","6794","236","4","#YNDX (Яндекс): Сегодня в лидерах роста в индексе МосБиржи акции Яндекса (плюс 4,5%). Оценка: 4"
"1239405989","6794","227","4","#FIVE (X5 Group): Сегодня в лидерах роста в индексе МосБиржи расписки X5 Group (плюс 4,9%). Оценка: 4"
"1239405989","4890","7","3","#VTBR (ВТБ): Новый выпуск еженедельного видео Top News от SberCIB Investment Research. Оценка: 3"
"1239405989","4890","241","3","#POSI (Группа Позитив): Новый выпуск еженедельного видео Top News от SberCIB Investment Research. Оценка: 3"
"1168461049","4314","11","0","#RUAL (Русал): все ли хорошо у компании? Оценка: 0"
"1203560567","4115","160","2","#SNGS (Сургутнефтегаз): Санкции в санкционный список попали дочернии структуры компании. Оценка: 2"
"1203560567","91935","53","3","#GMKN (Норильский никель): Потанин: взгляды Интерроса и Руcала на управление Норникелем ""принципиально различаются"". Потанин: акционерное соглашение при сохранении приведет к ""еще большему давлению"" на Норникель для максимизации дивидендов. Потанин: акционерное соглашение стало рудиментом и не нужно для эффективного развития Норникеля. Оценка: 3"
"1203560567","91935","11","0","#RUAL (RUSAL): Дивиденды. Оценка: 0"
"1203560567","271512","27","3","#ALRS (АЛРОСА): Минфин пока не рассматривает вариант поддержки ""АЛРОСА"" за счет увеличения финансирования закупок в Гохран, заявил замминистра финансов РФ Алексей Моисеев в интервью ""Интерфаксу"". Оценка: 3"
"1125172232","22851","150","2","#Сбербанк: 1????-444,655 (-3,47%) Оценка: 2"
"1125172232","22851","7","3","#ВТБ: 3????-24,954 (-0,65%) Оценка: 3"
"1075101206","15251","236","3","#YNDX (Яндекс): отмены делистинга. Оценка: 3"
"1239405989","6798","152","4","#CHMF (Северсталь): Северсталь стала первой из сталелитейных компаний, которая после двухлетней паузы в дивидендных выплатах возобновила их. Компания объявила дивиденды за 2023 год в размере 191,51 руб. на акцию (доходность 11%). Доходность по всем дивидендам компании, выплачиваемым в 2024 году, может достичь 16%. Оценка: 4"
"1197210433","9423","99","2","#MTLRP (Мечел): ?? МЕЧЕЛ НЕ ВЫПЛАТИЛ ДИВИДЕНДЫ НА ПРЕФЫ ЗА 2019 ИЗ-ЗА ДЕЙСТВИЯ МОРАТОРИЯ НА БАНКРОТСТВА Ранее СД рекомендовал дивиденды 3,48 руб. на префы. Оценка: 2"
"1203560567","236426","236","3","#YNDX (Yandex): Рынок музыкального стриминга в России может вырасти к концу 2023 года на 15–20% - опрос Ъ Оценка: 3"
"1203560567","236426","100","3","#MTSS (МТС): Рынок музыкального стриминга в России может вырасти к концу 2023 года на 15–20% - опрос Ъ Оценка: 3"
